
// ================================================================================================================================================================
// General Pool
// ================================================================================================================================================================

---- LW2WotC_ShootAnyone:  Shoot Anyone.
:: Mitzruti's Perk Pack


---- MZFreeEricparHealBomb:  grants a free heal grenade (requires Ericpar's Healbomb mod)
:: Mitzruti's Perk Pack
# Grenades
# Heal
* Enhance: Light Ordnance

---- MZFreeFireGrenade:  grants a free fire grenade
:: Mitzruti's Perk Pack
# Grenades
# Fire
* Enhance: Light Ordnance

---- MZFreeFragGrenade:  grants a free frag grenade
:: Mitzruti's Perk Pack
# Grenades
# Frag
* Enhance: Light Ordnance

---- MZFreeIRIMolotov:  grants a free molotov (requires Iridar's Molotov mod)
:: Mitzruti's Perk Pack
# Grenades
# Molotov
* Enhance: Light Ordnance

---- MZFreeIRIPipeBomb:  grants a free pipe bomb (requires Iridar's Pipe Bomb mod)
:: Mitzruti's Perk Pack
# Grenades
# Pipe Bomb
* Enhance: Light Ordnance

---- MZFreeProxyMine:  grants a free proxy mine
:: Mitzruti's Perk Pack
# Grenades
# Prox Mine
* Enhance: Light Ordnance




---- MZBulletRave:  3-shot burst. woefully inaccurate.
:: Mitzruti's Perk Pack
# Guns
* Shot

---- MZBurialShot:  shot refunds AP cost if lethal.
:: Mitzruti's Perk Pack
# Guns
* Shot


---- MZAimShift:  reduces aim, raises rest of squad's aim by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* Offense
* Squad

---- MZDefenseShift:  reduces defense, raises rest of squad's defense by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* Defense
* Squad

---- MZDuel:  mark a target. soldier and target gain massive aim vs each other.
:: Mitzruti's Perk Pack
* Offense

---- MZLifeShift:  reduces HP, raises rest of squad's stats by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* HP
* Squad

---- MZPsiShift:  reduces psi, raises rest of squad's stats by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* Stats
* Squad

---- MZSightShift:  reduces vision radius, raises rest of squad's stats by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* Vision
* Squad
@ Armadillo
@ Cutter

---- MZSpeedShift:  reduces mobility, raises rest of squad's stats by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Bondmate
* Mobility
* Squad

---- MZTechShift:  reduces hack and hack def, raises rest of squad's stats by the same amount. (boosted for bondmate)
:: Mitzruti's Perk Pack
* Hack
* Squad
* Bondmate





---- Center Mass:  You do one additional point of base damage when using guns.
::1   LW2 Gunner
# Guns

---- Grazing Fire:  Missed shots with your primary weapon have an additional roll to become a graze.
::5   LW2 Ranger
::1   LW2 Gunner
# Guns


---- Flush:  Special shot with a bonus to hit that does little damage but forces target to change position if it hits and gives a penalty to defense and dodge.
::2   LW2 Gunner
# Guns

---- Formidable:  Your gear includes an extra layer of protection, granting two extra points of Ablative HP and 50% less damage from explosive attacks.
== LW2WotC_Formidable
::1   SPARK
::4   LW2 Technical
::3   LW2 Grenadier
::2   LW2 Gunner
::4   LW2 Assault
# Armor


---- Hail of Bullets:  Unleash a hail of bullets that is guaranteed to hit your target, but uses a lot of ammunition.
::3   LW2 Gunner
## Guns

---- Shredder:  Your primary weapon attacks shred armor.
::3   LW2 Gunner
::3   LW2 Technical
::2   SPARK
# Anti-Armor
* Shred
@ Cover Girl
@ Bazooka
@ Scrap-Iron


---- Chain Shot:  Take a shot with an aim penalty of -10. If you hit the target, you take another shot on the target automatically.
::4   LW2 Gunner
::5   LW2 Grenadier
# Cannon

---- Iron Curtain:  Special shot that does half damage but reduces target mobility for the following two turns. Cone-based attack with primary weapon.
::4   LW2 Gunner
# Guns

---- Demolition:  Unleash a volley of bullets at your target's cover, significantly damaging or destroying it. Deals no damage to your target.
::4   LW2 Gunner
# Guns


---- Cyclic Fire:  Special Shot: Fire three shots at a target in a single attack. Requires both actions and all shots have aim penalties. Four-turn cooldown.
::5   LW2 Gunner
# Guns


---- Rupture:  A Rupture shot has a large bonus to crit chance and ensures that the target takes an additional +3 damage from all attacks in the future.
::7   LW2 Ranger
::6   LW2 Gunner
# Guns

---- Rapid Fire:  Fire twice in a row at an enemy. Each shot suffers an Aim penalty of -15. There is no cooldown on this ability.
::7   LW2 Technical
::7  LW2 Shinobi
::6   LW2 Ranger
::5   LW2 Assault
::6   LW2 Gunner
# Guns


---- Saturation Fire:  Fire a cone-shaped barrage of bullets at every enemy in an area. In addition, the cover of those enemies can be damaged or destroyed. Uses a lot of ammunition.
::7   LW2 Gunner
# Guns

---- Combat Fitness:  Gain 4 aim, 1 mobility, 2 HP, 4 will, and 4 dodge.
::7   LW2 Ranger
::7   LW2 Gunner

---- Traverse Fire:  After taking a standard shot with your primary weapon with your first action, you may take an additional non-movement action.
::7   LW2 Gunner




---- Aggression:  Gain +5 critical chance for each enemy you can see, up to a maximum of 30.
= LW2WotC_Aggression
::4   LW2 Assault
::3   LW2 Ranger
::5   LW2 Sharpshooter
* Scale by visible



---- Lightning Reflexes:  Reaction fire shots against you have a significantly decreased chance to hit. The bonus goes down with each additional reaction shot you face.
::1   LW2 Assault
* Mobility
@ Snake Eyes
@ Jinx
@ Lifeline
@ Storm Shadow




---- Run and Gun:  Take an action after dashing.
::0   LW2 Assault
* Action
@Hit and Run

---- Killer Instinct:  Activating Run & Gun grants +50% critical damage for the rest of the turn.
::3   LW2 Assault
* Enhance: Run and Gun

---- Extra Conditioning:  Run and Gun cooldown is reduced by one turn.
::4   LW2 Assault
* Enhance: Run and Gun




---- Hit and Run:  Once per turn, gain an additional action after taking a standard shot at a flanked or exposed target with your primary weapon.
==   LW2WotC_HitandRun
::  LW2WotC Main mod
::5   LW2 Assault
::6  LW2 Shinobi
@ Hit and Run




---- LW2WotC_Infighter:  Gain +<Ability:INFIGHTER_DODGE_BONUS/> dodge against attacks within <Ability:INFIGHTER_MAX_TILES/> tiles.
::  LW2WotC Main mod
* Close

---- Close and Personal:  Confers +30 critical chance against adjacent targets. The bonus declines with distance from the target.
== LW2WotC_CloseandPersonal
::1   LW2 Ranger
::2   LW2 Assault
* Close


---- Close Encounters:  Once per turn, gain a bonus action after taking a standard shot with your primary weapon at an enemy within four tiles. Close Encounters cannot be used after Run and Gun is activated.
== LW2WotC_CloseEncounters
::5   LW2 Assault
::  LW2WotC Main mod
* Close


---- Bring 'Em On:  Gain +1 damage on critical hits for every two enemies you can see, up to a maximum of +8.
= LW2WotC_BringEmOn
::6   LW2 Assault

---- Close Combat Specialist:  During enemy turns, fire a free reaction shot with your primary weapon at any visible enemy within four tiles who moves or fires. Will not trigger if soldier is concealed.
= LW2WotC_CloseCombatSpecialist
= LW2WotC_CloseCombatSpecialistAttack
::6   LW2 Assault
* Close



---- Untouchable:  If you score a kill during your turn, the next attack against you during the enemy turn will miss.
::6   LW2 Assault


---- Lethal:  You do two additional points of base damage and one point of additional crit damage with your primary weapon.
::7   LW2 Assault





---- Launch Grenade:  The Grenadier uses a grenade launcher to fire grenades rather than throwing them. This allows for greater range and grenade capacity.
::-1   LW2 Grenadier
# Launcher
@ Short Fuze
@ Gung-Ho
@ Hardball
@ Thunder


---- Sapper:  Your explosives can destroy many cover objects.
::1   LW2 Grenadier
# Explosives
@ Tripwire
@ Lightfoot
@ Zap
@ Thunder
@ Tollbooth

---- Needle Grenades:  Your explosives do not destroy loot when they kill enemies.
::1   LW2 Grenadier
# Grenades
@ Short Fuze

---- Rapid Deployment:  Activate this ability before throwing or launching a support grenade, and the throw will not cost an action.
::1   LW2 Grenadier
# Grenades
@ Hardball


---- Heavy Ordinance:  Any damaging grenade in your grenade-only slot gains a bonus use.
::2   LW2 Grenadier
# Grenades
@ Short Fuze
@ Thunder
@ Hardball

---- Center Mass:  You do one additional point of base damage when using guns.
::2   LW2 Grenadier
# Guns

---- Protector:  Non-damaging grenades in your grenade-only slot gain a bonus use.
::2   LW2 Grenadier
# Grenades

---- Boosted Cores:  Explosive grenades do one additional damage.
::3   LW2 Grenadier
# Grenades
@ Thunder



---- HEAT Warheads:  Your grenades now pierce up to 2 points of armor and shred one additional point of armor.
::4   LW2 Grenadier
# Grenades
* Shred
@ Thunder



---- Volatile Mix:  Your grenades' area of effect is increased by one tile.
::6   LW2 Grenadier
@ Thunder

---- Bombardier:  You may throw or launch grenades two additional tiles.
::6   LW2 Grenadier
# Grenades
@ Thunder
@ Short Fuze


---- Combat Engineer:  Your explosives do significantly greater damage to cover objects and other things on the battlefield.
::7   LW2 Grenadier
# Explosives
@ Tripwire
@ Lightfoot
@ Zap
@ Thunder
@ Tollbooth

---- Full Kit:  Grants +1 charge per grenade item in a utility slot.
::7   LW2 Grenadier
@ Thunder
@ Hardball
@ Short Fuze









---- Shadowstep:  This soldier does not trigger overwatch or reaction fire.
::2  LW2 Shinobi
* Ninja
@ Snake Eyes
@ Jinx
@ Lifeline
@ Storm Shadow
@ Billy Kessler
@ Blind Master


---- Light 'Em Up:  Taking a standard shot with your primary weapon as your first action no longer ends your turn.
::0   LW2 Ranger


---- Walk Fire:  Take a highly accurate shot with +30 bonus to hit but for half damage and -30 crit. Uses 2 ammo.
== LW2WotC_WalkFire
::  LW2WotC Main mod
::1   LW2 Ranger



---- Locked On:  Gain +10 aim and +10 crit for successive shots at the same enemy unit.
== LW2WotC_LockedOn
::  LW2WotC Main mod
::2   LW2 Ranger


---- Center Mass:  You do one additional point of base damage when using guns.
::3   LW2 Ranger



---- Executioner:  Confers +10 aim and +10 critical chance against targets at half or less of their original hit points.
= LW2WotC_Executioner
::4   LW2 Ranger
::  LW2WotC Main mod

---- Fortify:  Activate to grant +20 defense until the beginning of the next turn. Does not cost an action. Has a 5-turn cooldown.
= LW2WotC_Fortify
::4   LW2 Ranger
::3   LW2 Assault
::2   LW2 Technical



---- Bring 'Em On:  Gain +1 damage on critical hits for every two enemies you can see, up to a maximum of +8.
::5   LW2 Ranger

---- Implacable:  If you score one or more kills on your turn, you are granted a single bonus move.
::5   LW2 Ranger




---- Tactical Sense:  Gain 3 defense for each enemy you can see, up to a maximum of 15 defense.
::6   LW2 Ranger









---- Death From Above:  Killing an enemy at a lower elevation with your primary weapon costs only a single action, and does not end your turn. Also grants a long-range accuracy bonus for sniper rifles.
==  DeathFromAbove
::1   LW2 Sharpshooter
* Elevation

---- Damn Good Ground:  Confers +10 aim and +10 defense against targets at a lower elevation.
::2   LW2 Sharpshooter
* Elevation

---- Phantom:  When the squad is revealed, this soldier remains concealed.
::2   LW2 Sharpshooter
* Concealment

---- Center Mass:  You do one additional point of base damage when using guns.
::2   LW2 Sharpshooter
# Guns



---- Low Profile:  Makes partial cover count as full.
== LW2WotC_LowProfile
::4  LW2 Shinobi
::4   LW2 Sharpshooter


---- Deadeye:  Take a shot with a small aim penalty for a significant damage boost.
::5   LW2 Sharpshooter


---- Kubikuri:  Special shot against most enemies who have taken any damage: Any critical hit kills them, but regular hits do half damage. Requires two actions and has a 4-turn cooldown.
::6   LW2 Sharpshooter

---- Hunter's Instincts:  Ranged attacks against flanked enemies deal +2 damage.
::6   LW2 Sharpshooter


---- Alpha Mike Foxtrot:  You do 4 additional points of base damage and 2 additional points of crit damage with your primary weapon.
::7   LW2 Sharpshooter

---- Serial:  A powerful chained shot ability. For every kill made with your primary weapon, your actions will be refunded but your damage and crit chance will be reduced for every subsequent attack.
::7   LW2 Sharpshooter




---- Phantom:  When the squad is revealed, this soldier remains concealed.
::0  LW2 Shinobi


---- Ghostwalker:  Activate this ability to reduce enemy detection range against you by 25% for the rest of your turn as well as the following turn. Four-turn cooldown.
== LW2WotC_Ghostwalker
::  LW2WotC Main mod
::1  LW2 Shinobi


---- Executioner:  Confers +10 aim and +10 critical chance against targets at half or less of their original hit points.
::2  LW2 Shinobi

---- Covert:  Enemies have 25% smaller detection range against you.
::3  LW2 Shinobi

---- Hard Target:  Gain 3 dodge per enemy you can see, up to a maximum of +30.
= LW2WotC_HardTarget
::3  LW2 Shinobi


---- Shadowstrike:  While concealed, gain +50 bonus aim and +50 bonus critical hit chance when attacking enemies.
::4  LW2 Shinobi



---- Hunter's Instincts:  Ranged attacks against flanked enemies deal +2 damage.
::5  LW2 Shinobi

---- Evasive:  Start each mission with 100 bonus dodge. The bonus is removed after you take damage for the first time.
::5  LW2 Shinobi

---- Tradecraft:  This soldier has significantly reduced infiltration times while on missions.
::6  LW2 Shinobi
@ Chuckles


---- Conceal:  Immediately enter concealment once per mission.
::7  LW2 Shinobi







---- Field Surgeon:  Reduce wound recovery times for most soldiers.
== LW2WotC_FieldSurgeon
::2   LW2 Specialist
@ Doc
@ Lifeline

---- Field Medic:  Equipped medikits have 2 extra charges.
::4   LW2 Specialist
@ Doc
@ Lifeline
@ Stalker


---- Savior:  Healing abilities restore four additional hit points.
::5   LW2 Specialist
@ Doc
@ Lifeline


---- Failsafe:  If you fail a hack, you prevent any negative effects from occurring.
::5   LW2 Specialist
* Hack
@ Breaker
@ Dail-Tone
@ Mainframe



---- Full Override:  Take permanent control of a robotic unit and potentially acquire ADVENT MECs for the Resistance.
::6   LW2 Specialist
@ Breaker
@ Mainframe





---- Tactical Sense:  Gain 3 defense for each enemy you can see, up to a maximum of 15 defense.
::6   LW2 Technical





---- Soulfire:  Does guaranteed psionic damage to an organic enemy. Ignores cover and armor.
::0   Psi Operative


---- Quick Study:  Learn officer and AWC bonus abilities in half the time.
::0   Psi Operative
@ Hawk
@ Scarlett
@ Duke
@ Flint
@ Lady Jaye
@ Falcon


---- Insanity:  Debilitating telepathic attack that can inflict different negative conditions, including mental control of the target.
::1   Psi Operative

---- Mind Merge:  Grants bonus will, crit and ablative hit points to an ally until the beginning of the player's next turn.
::1   Psi Operative


---- Schism:  Insanity now does a small amount of guaranteed damage, and applies Rupture to the target.
::2   Psi Operative

---- Solace:  The Psi Operative may immediately extinguish mental impairments for a squadmate.
::2   Psi Operative


---- Soul Steal:  Soulfire transfers half of the damage done back to the Psi Operative as health.
::3   Psi Operative

---- Fortress:  The Psi Operative is immune to fire, poison, acid, and explosive damage.
::3   Psi Operative


---- Stasis:  Completely stuns the target for 1 turn, but renders them immune to any damage or attack.
::4   Psi Operative

---- Soul Merge:  Increases effectiveness of Mind Merge by conferring larger bonuses to will, crit and ablative hit points and reducing its cooldown period.
::4   Psi Operative


---- Fuse:  If an enemy is carrying explosives, they can be remotely detonated by the Psi Operative.
::5   Psi Operative

---- Stasis Shield:  Stasis can be cast on allies, rendering them immune to any attacks, and stunned, for 1 turn.
::5   Psi Operative


---- Null Lance:  Project a beam of terrible power that damages every target it passes through. This attack can penetrate multiple enemies and obstacles.
::6   Psi Operative

---- Bastion:  Fortress now provides immunity to nearby teammates.
== LW2WotC_Bastion
== LW2WotC_Bastion_Passive
== LW2WotC_Bastion_Cleanse
::6   Psi Operative


---- Void Rift:  Generate an explosive field of Psionic energy that immediately damages everything within. Organic enemies have a chance to suffer Insanity.
::7   Psi Operative

---- Domination:  Permanently mind control an enemy. Only one successful Domination can be performed per mission.
::7   Psi Operative




---- Overdrive:  Take three actions this turn, and no action is turn-ending. Multiple Standard Shots incur a small recoil penalty.
::0   SPARK

---- Mechanical Chassis:  This unit is immune to fire and poison damage.
::0   SPARK


---- Adaptive Aim:  When Overdrive is active, Standard Shots do not incur recoil penalties.
::1   SPARK



---- Rainmaker:  Equipped heavy weapons deal +2 damage and have increased area of effect.
::2   SPARK

---- Body Shield:  A targeted enemy receives -20 aim and -50 critical chance against the soldier.
::2   SPARK



---- Bulwark:  Gain a bonus point of Armor, and always provide high cover to all adjacent squadmates.
::3   SPARK


---- Intimidate:  When targeted by an attack, the enemy has a chance to panic.
::4   SPARK

---- Repair:  Send the BIT to a damage robotic ally and repair it. Advanced BITs can repair slightly more.
::4   SPARK


---- Bombard:  Launch the BIT to any visible location where it releases a powerful explosive blast. Advanced BITs do more damage.
::5   SPARK

---- Channeling Field:  Every time you are targeted, part of the energy is channeled to your primary weapon. This energy is unleashed with your next Standard Shot.
::5   SPARK



---- Wrecking Ball:  While Overdrive is active, break through walls and cover when moving.
::6   SPARK

---- Damage Control:  After taking damage, gain two armor through the end of the next turn.
::6   SPARK

---- Nova:  Release a blast of energy, damaging all nearby enemies. This attack has no cooldown, but consecutive Novas will damage the SPARK.
::6   SPARK


---- Sacrifice:  Generate a protective field which redirects any attacks against allies inside it towards you. Gain bonus defense and armor while active.
::7   SPARK

---- Impact Fields:  Activate a force field that reduces incoming damage by 33% for two turns. Six-turn cooldown.
::7   SPARK



// ================================================================================================================================================================
// Leaders
// ================================================================================================================================================================

---- Leadership:  This officer provides bonuses to will, dodge and infiltration to soldiers who have previously served under his or her command. These bonuses scale up the more missions they go on together.
::0   Officers
# Leaders
@ Hawk
@ Stalker
@ Scarlett
@ Ace
@ Duke
@ Flint
@ Beach Head
@ Falcon
@ Sgt. Slaughter
@ Cobra Commander
@ Baroness
@ Destro
@ Major Bludd
@ Serpentor
@ Zartan
@ Darklon
@ Voltar

---- Command:  End your turn to grant a bonus action to any visible member of the squad. The number of charges is dependent on the officer's rank.
::0   Officers
# Leaders
@ Duke
@ Falcon
@ Beach Head
@ Scarlett

---- Intervention:  Activate this ability to spend 10 intel and gain two turns on the current mission timer. The number of charges is dependent on the officer's rank.
::0   Officers
# Leaders
* Intel
@ Hawk
@ Flint
@ Scarlett
@ Chuckles

---- Commissar:  Pistol shots against allies who have been mind-controlled by enemies have +50 to hit, cannot be dodged, and automatically kill the target if a hit occurs.
== LW2WotC_Commissar
::0   Officers
# Leaders
# Pistol
@ Cobra Commander

---- You'll Need This:  Pass a spare pistol to a civilian ally.
::0   Officers
# Leaders
@ Chuckles


---- Oscar Mike:  Spend an action to give all allies within Command Range +5 Mobility for the remainder of the turn. Usable once per mission.
::1   Officers
# Leaders
# Transporters
* Command Range
@ Cutter
@ Lift Ticket
@ Armadillo

---- Focus Fire:  Spend an action to pinpoint a target and grant your squad cumulative Aim bonuses and 1 Armor Piercing on attacks against that target for the rest of the turn.
::1   Officers
# Leaders
* Squad


---- Incoming!:  Activate this ability to grant everyone within command range four points of damage resistance against explosive attacks through the end of the next alien turn.
::2   Officers
# Leaders
* Command Range

---- Get Some:  Twice per mission, spend an action to grant all allies within Command Range a +20 bonus to Critical Hit chances for the remainder of the turn.
::2   Officers
# Leaders
* Command Range


---- Trial By Fire:  Any soldiers below the rank of sergeant will be automatically promoted after a successful mission with this officer.
::3   Officers
# Leaders

---- Jammer:  Once per battle, delay the arrival of incoming enemy reinforcements by one turn.
::3   Officers
# Leaders
@ Breaker
@ Dial-Tone
@ Mainframe
@ Jinx


---- Lead By Example:  The Officer improves the Aim, Will and Hack of soldiers within Command Range by half the difference between soldier and Officer.
::4   Officers
# Leaders
* Command Range

---- Collector:  Any kills of a non-human enemy by the squad have a 33% chance to grant 1 intel point as long as the Officer is healthy.
::4   Officers
# Leaders
* Intel
* Intel Generation
@ Airtight
@ Doc
@ Chuckles
@ Psyche-Out


---- Fire Discipline:  All allies within Command Range of the Officer gain +10% to hit on reaction fire.
::5   Officers
# Leaders
* Command Range
@ Hawk
@ Beach Head

---- Defilade:  Soldiers within Command Range of the Officer receive +5 bonus to defense value provided by cover.
::5   Officers
# Leaders
* Command Range
@ Roadblock


---- Air Controller:  The Skyranger will arrive 2 turns sooner during evacuations.
::6   Officers
# Leaders
@ Lift Ticket
@ Ace

---- Infiltrator:  The officer's squad will infiltrate enemy targets more quickly.
::6   Officers
# Leaders
@ Scarlett
@ Psyche-Out
@ Chuckles
@ Breaker

---- Combined Arms:  All allies within Command Range of the Officer do +1 damage with all successful attacks.
::7   Officers
* Command Range
# Leaders

---- Scavenger:  Mission rewards of supplies, Alien Alloys and Elerium increased by 30% after successful missions. Squad members have a chance of collecting extra Alien Alloys and Elerium from aliens.
::7   Officers
# Scientists/Engineers
@ Dial-Tone
@ Breaker
@ Mainframe
@ Airtight
@ Doc
@ Tollbooth


// ================================================================================================================================================================
// PsiShard
// ================================================================================================================================================================

---- MZArcCleave: uses soulfire for cleave damage. PZMelee only.
:: Mitzruti's Perk Pack
# PsiShard

---- MZArcCleaveTemplar: as arcwave, but fixed for PZMelee.
:: Mitzruti's Perk Pack
# PsiShard

---- MZCatsMeow: Passive. +20hit and +10crit for melee attacks.
:: Mitzruti's Perk Pack
# PsiShard

---- MZLashOut: Built on Ionic Storm. does not use focus.
:: Mitzruti's Perk Pack
# PsiShard

---- MZSledgehammer: melee attack that knocks back. does a 2nd hit after knockback.
:: Mitzruti's Perk Pack
# PsiShard

---- MZForkedLightning: volt attack on two random targets. Gauntlets only.
:: Mitzruti's Perk Pack
# PsiShard

---- MZVoidLightning: void chains between enemies in an area around target. always does strong volt damage.
:: Mitzruti's Perk Pack
# PsiShard

---- MZStormForce: psionic lightning does more damage.
:: Mitzruti's Perk Pack
# PsiShard

---- MZStormSurge: volt chains between enemies in a cone. strong vs robotics.
:: Mitzruti's Perk Pack
# PsiShard

---- MZStormShock:  single target volt, effective against robots
:: Mitzruti's Perk Pack
# PsiShard

---- MZThunderstorm:  call down lightning in an area, effective against robots.
:: Mitzruti's Perk Pack
# PsiShard

---- MZCloudCover:  activating a storm ability generates smoke
:: Mitzruti's Perk Pack
# PsiShard

---- MZStaticShock:  random fire free action variant of storm shock
:: Mitzruti's Perk Pack
# PsiShard



// ================================================================================================================================================================
// PsiAmp
// ================================================================================================================================================================


---- MZBetrayal: Mind control that allows the victim to act immediatly, but ends at end of turn.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZDisable: AOE disarm and chance to stun. stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZFuse: As fuse, but stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZKineticPush: push foe a short distance. stealthy. free action.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMalaise: poison and disorient a large area. stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMindControl: temporary mind control; similiar to what commandatar uses in leviathan.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMindSoothe: remove mental effects from a distant squadmate. stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZPanacea: heals pretty much everything. stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZPsiPanic: causes the victim to panic. can trigger schism. stealthy.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZPsiBlind: blind+disorient single enemy.
:: Mitzruti's Perk Pack
# PsiAmp


---- MZAmorFati: reduce all damage an ally takes, but make them easier to hit.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZAuroraWave: Mass MindSoothe (and ManuForti if you have it too)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZClearTranquil: MindSoothe and TransmitPrana reduces target's cooldowns
:: Mitzruti's Perk Pack
# PsiAmp

---- MZCongregation: apply 2 MindMerge at once
:: Mitzruti's Perk Pack
# PsiAmp

---- MZHealersMind: PsiHeal and RayOfLife get more charges
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMagnusExorcismus: aoe turn undead
:: Mitzruti's Perk Pack
# PsiAmp

---- MZManuForti: boost an ally's damage temporarily
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMindMerge: buff ally's mob, aim, crit, will.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZPsiHeal: psionically delivered heal.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZRayOfLife: heal all targets in a line
:: Mitzruti's Perk Pack
# PsiAmp

---- MZRayzeelSong: heal squad when you use a psi healing ability
:: Mitzruti's Perk Pack
# PsiAmp

---- MZRestoreLife: revive and heal a bleeding out ally
:: Mitzruti's Perk Pack
# PsiAmp

---- MZTransmitPrana: spend 2ap to give an ally 1ap
:: Mitzruti's Perk Pack
# PsiAmp

---- MZTurnUndead: high damage to lost, spectrals, shadowbound and cocoons.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZControlUndead:  MindControl undead. low duration and cooldown
:: Mitzruti's Perk Pack
# PsiAmp

---- MZCurseLure:  BloodCurse + LostLure (technically does not need amp, but hit is based on psi)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZDeadExplosion:  aoe fire damage+more fire around undead target
:: Mitzruti's Perk Pack
# PsiAmp

---- MZFireball:  explosive fire aoe spell
:: Mitzruti's Perk Pack
# PsiAmp

---- MZHaltUndead:  massive aoe stun to undead foes
:: Mitzruti's Perk Pack
# PsiAmp

---- MZMachinaPuppeteer:  temporary mind control a robot
:: Mitzruti's Perk Pack
# PsiAmp

---- MZZombify:  poison+make vulnerable to TU/etc.
:: Mitzruti's Perk Pack
# PsiAmp

---- MZBoulderCrush:  blunt damage and stun (mental hitcalc)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZEarthHeal:  heal, regen, stabilize if bleeding out. Shares charges with WhiteFlame
:: Mitzruti's Perk Pack
# PsiAmp

---- MZEvilGaze:  acid damage and panic (mental hitcalc)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZFireWhip:  fire damage and disable weapon. (mental hitcalc)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZShiningAir:  psi damage and blind (mental hitcalc)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZThunderousRoar:  Electric damage and put psi skills on cooldown (mental hitcalc)
:: Mitzruti's Perk Pack
# PsiAmp

---- MZWhiteFlame:  heal, regen area. cures mental effects including unconcious. no effect on fire immune.
:: Mitzruti's Perk Pack
# PsiAmp



// ================================================================================================================================================================
// Focus
// ================================================================================================================================================================

---- MZManaTeleport:  spend mana/focus to teleport anywhere in squadsight.
:: Mitzruti's Perk Pack
# Focus
* Teleport

---- MZDarkSword: slash attack generates focus.
:: Mitzruti's Perk Pack
# Melee
# Focus
# Generate Focus
# Sword

---- MZHolyExplosion: powerful melee attack that releases explosive wave. costs 2 focus.
:: Mitzruti's Perk Pack
# Melee
# Focus

---- IsmsNaturalBornKiller:  Focus: gain per turn. Boosts mobility. consume all for a shot with boosted damage.
:: Mitzruti's Perk Pack
:: IsmsRogue
# Focus

---- IsmsRushOfBattle:  Focus: gain on enemy deaths. Boosts dodge. consume all to heal a percent of missing health.
:: Mitzruti's Perk Pack
:: IsmsRogue
# Focus
# Focus Generation

---- IsmsScoutingReport:  Focus: gain per turn. Boosts squad aim and defense. Consume all to replenish allies' actions.
:: Mitzruti's Perk Pack
:: IsmsRogue
# Focus
# Focus Generation

---- MZEarthFocus:  Focus. generated by hunkering down.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZFlameFocus:  Focus. generated by kills with abilities that don't cost focus.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZFocusGainBoost:  increases focus gain. some focus types with low gain will be unaffected.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZFocusMaxBoost:  increases max focus. effect may vary by focus type.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZFocusStartBoost:  inreases initial focus. effect may vary by focus type.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZNecroFocus:  Focus. small amount generated by any deaths.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZVoidFoucs:  Focus. starts at max value, no inate recovery.
